Dates;ships destroyed
Jan 1;1012
Jan 2;1408
Jan 3;1307
Jan 4;1009
Jan 5;1173
Jan 6;1252
Jan 7;1393
Jan 8;1822
Jan 9;1900
Jan 10;1348
Jan 11;1132
Jan 12;1250
Jan 13;1290
Jan 14;1538
Jan 15;1467
Jan 16;1510
Jan 17;1220
Jan 18;973
Jan 19;894
Jan 20;1217
Jan 21;1446
Jan 22;1821
Jan 23;1812
Jan 24;1424
Jan 25;1271
Jan 26;1043
Jan 27;1096
Jan 28;1127
Jan 29;1522
Jan 30;1493
Jan 31;1292
Feb 1;1141
Feb 2;1103
Feb 3;1168
Feb 4;1267
Feb 5;1665
Feb 6;2084
Feb 7;1033
Feb 8;1291
Feb 9;1061
Feb 10;1677
Feb 11;1840
Feb 12;1783
Feb 13;1751
Feb 14;1194
Feb 15;1287
Feb 16;1583
Feb 17;1338
Feb 18;1329
Feb 19;3205
Feb 20;1850
Feb 21;1249
Feb 22;1083
Feb 23;1389
Feb 24;1109
Feb 25;1268
Feb 26;1471
Feb 27;1379
Feb 28;913
Mar 1;853
Mar 2;684
Mar 3;687
Mar 4;837
Mar 5;3358
Mar 6;6118
Mar 7;1085
Mar 8;751
Mar 9;1013
